end_station_name,num
"Limerston Street, Chelsea",5711
"Mexfield Road, East Putney",5617
"Esmond Street, Putney",5331
"Millharbour, Millwall",5311
"Theobalds Road , Holborn",5290
"Ladbroke Grove Central, Ladbroke Grove",5226
"Malmesbury Road, Bow",5223
"Lansdowne Walk, Ladbroke Grove",5168
"Park Road (Baker Street), Regent's Park",5128
"Cadogan Gardens, Sloane Square",5025
"Grant Road West, Clapham Junction",4896
"Drayton Gardens, Chelsea",4841
"Limburg Road, Clapham Junction",4814
"Stockwell Roundabout, Stockwell",4649
"Santos Road, Wandsworth",4484
"Columbia Road, Weavers",4383
"Fishermans Walk West, Canary Wharf",4342
"Teviot Street, Poplar",4188
"Spanish Road, Clapham Junction",4186
"Lodge Road, St. John's Wood",4148
"Queen Marys, Mile End",4118
"Pitfield Street (North),Hoxton",4108
"Nantes Close, Clapham Junction",4060
"Grant Road Central, Clapham Junction",4056
"Merchant Street, Bow",4055
"Millbank House, Pimlico",3786
"Great Dover Street, Borough",3733
"Cleveland Way, Bethnal Green",3727
"St. John's Park, Cubitt Town",3718
"New Road  2, Whitechapel",3568
"Sidney Street, Stepney",3553
"Walworth Road, Southwark",3538
"Fawcett Close, Clapham Junction",3466
"Normand Park, Fulham",3455
"Aberfeldy Street, Poplar",3370
"The Tennis Courts, Regent's Park",3306
"Nantes Close, Wandsworth",3296
"Thornfield House, Poplar",3288
"Colet Gardens, Hammersmith",3238
"Bethnal Green Gardens, Bethnal Green",3225
"Edgware Road Station, Paddington",3217
"Here East North, Queen Elizabeth Olympic Park",3214
"Hoxton Station, Haggerston",3111
"Manfred Road, East Putney",3069
"St Katharines Way, Tower",3044
"Gun Makers Lane, Old Ford",3003
"Goldsmiths Row, Haggerston",2986
"Prince Albert Road, Regent's Park",2971
"Lansdowne Way Bus Garage, Stockwell",2938
"Castalia Square, Cubitt Town",2931
"Austin Road, Battersea",2802
"London Zoo Car Park, Regent's Park",2801
"Fawcett Close, Battersea",2767
"Simpson Street, Battersea",2643
"Altab Ali Park, Whitechapel",2619
"South Quay East, Canary Wharf",2591
"Albany Street, Regent's Park",2586
"Churchill Place, Canary Wharf",2394
"New Kent Road, Borough",2291
"Longford Street, Regent's Park",2259
"Kingsway, Covent Garden",2250
"London Zoo, Regents Park",2219
"Hansard Mews, Shepherds Bush",2115
"Victory place, Walworth",2091
"Strata, Southwark",2024
"Clapham Common Northside, Clapham Common",1972
"Killick Street, Kings Cross",1852
"Waterloo Roundabout, Waterloo",1805
"Bradmead, Nine Elms",1797
"Bevington Road, North Kensington",1738
"Westfield Eastern Access Road, Shepherd's Bush",1693
"Victoria and Albert Museum, Cromwell Road",1638
"St. John's Wood Church, Regent's Park",1595
"Clarges Street, West End",1521
"Battersea Power Station, Battersea Park",1412
"Harper Road, Borough",1360
"Sugden Road, Battersea",1260
"Russell Gardens, Holland Park",1259
"Walmer Road, Notting Hill",1250
"St Martin's Close, Camden Town",1199
"Usk Road, Battersea",1083
"Oval Way, Lambeth",1022
"Bromley High Street, Bromley",949
"South Quay West, Canary Wharf",906
"Thessaly Road North, Nine Elms",895
"Upper Richmond Road, East Putney",880
"Halford Road, Fulham",812
"St. Mary and St. Michael Church, Stepney",805
"Central House, Whitechapel",778
"Harrington Square, Camden Town",740
Mechanical Workshop Clapham,727
Mechanical Workshop Penton,663
"Ingrave Street, Battersea",639
"Victory Place, Walworth",609
"Lansdowne Walk, Notting Hill",602
"Stewart's Road, Nine Elms",572
"Spanish Road, Wandsworth",537
"Ladbroke Grove Central, Notting Hill",526
"Limburg Road, Clapham Common",481
"St John's Park, Cubitt Town",393
"Coborn Street, Mile End",315
"Here East South, Queen Elizabeth Olympic Park",241
"Contact Centre, Southbury House",60
Pop Up Dock 1,41
"Monier Road, Newham",36
Pop Up Dock 2,19
Monier Road,14
PENTON STREET COMMS TEST TERMINAL _ CONTACT MATT McNULTY,11
LSP1,6
"Blackfriars road, Southwark",5
Electrical Workshop PS,2
LSP2,2
