start_station_name,num
"Malmesbury Road, Bow",5537
"Oxford Road, Putney",5505
"Theobalds Road , Holborn",5491
"Limerston Street, Chelsea",5488
"Santos Road, Wandsworth",5458
"Lodge Road, St. John's Wood",5416
"Morie Street, Wandsworth",5388
"Spanish Road, Clapham Junction",5329
"Park Road (Baker Street), Regent's Park",5304
"Pitfield Street (North),Hoxton",5156
"Columbia Road, Weavers",5027
"Esmond Street, Putney",5009
"Millharbour, Millwall",4873
"Drayton Gardens, Chelsea",4808
"Limburg Road, Clapham Junction",4748
"Cadogan Gardens, Sloane Square",4726
"Abingdon Green, Great College Street",4669
"Nantes Close, Clapham Junction",4600
"New Spring Gardens Walk, Vauxhall",4277
"Merchant Street, Bow",4253
"Queen Marys, Mile End",4171
"St. John's Park, Cubitt Town",4036
"Manfred Road, East Putney",3997
"Great Dover Street, Borough",3928
"Edgware Road Station, Paddington",3887
"Teviot Street, Poplar",3885
"Fishermans Walk West, Canary Wharf",3809
"Millbank House, Pimlico",3799
"Cleveland Way, Bethnal Green",3709
"Nantes Close, Wandsworth",3655
"Stockwell Roundabout, Stockwell",3609
"Sidney Street, Stepney",3575
"Goldsmiths Row, Haggerston",3560
"Fawcett Close, Clapham Junction",3512
"Prince Albert Road, Regent's Park",3465
"Walworth Road, Southwark",3452
"Hoxton Station, Haggerston",3444
"Normand Park, Fulham",3430
"Here East North, Queen Elizabeth Olympic Park",3362
"New Road  2, Whitechapel",3342
"Aberfeldy Street, Poplar",3332
"St Katharines Way, Tower",3323
"Bethnal Green Gardens, Bethnal Green",3323
"The Tennis Courts, Regent's Park",3303
"Grant Road West, Clapham Junction",3299
"Albany Street, Regent's Park",3242
"Austin Road, Battersea",3184
"Fawcett Close, Battersea",3175
"London Zoo Car Park, Regent's Park",3122
"Gun Makers Lane, Old Ford",3035
"Colet Gardens, Hammersmith",3030
"Victory place, Walworth",2834
"Longford Street, Regent's Park",2776
"Castalia Square, Cubitt Town",2751
"Thornfield House, Poplar",2747
"Simpson Street, Battersea",2585
"Altab Ali Park, Whitechapel",2570
"London Zoo, Regents Park",2391
"Kingsway, Covent Garden",2351
"New Kent Road, Borough",2236
"Lansdowne Way Bus Garage, Stockwell",2232
"Strata, Southwark",2223
"Churchill Place, Canary Wharf",2208
"St. John's Wood Church, Regent's Park",2034
"Bevington Road, North Kensington",1990
"Clapham Common Northside, Clapham Common",1954
"Hansard Mews, Shepherds Bush",1898
"South Quay East, Canary Wharf",1894
"Killick Street, Kings Cross",1881
"Bradmead, Nine Elms",1792
"Battersea Power Station, Battersea Park",1743
"Grant Road Central, Clapham Junction",1716
"Waterloo Roundabout, Waterloo",1678
"Harper Road, Borough",1660
"Sugden Road, Battersea",1554
"St Martin's Close, Camden Town",1475
"Russell Gardens, Holland Park",1463
"Victoria and Albert Museum, Cromwell Road",1451
"Walmer Road, Notting Hill",1422
"Clarges Street, West End",1416
"Usk Road, Battersea",1222
"Thessaly Road North, Nine Elms",1069
"Bromley High Street, Bromley",985
"Upper Richmond Road, East Putney",978
"Harrington Square, Camden Town",911
"Ladbroke Grove Central, Notting Hill",896
"Oval Way, Lambeth",870
"Lansdowne Walk, Notting Hill",827
"St. Mary and St. Michael Church, Stepney",820
"Central House, Whitechapel",817
"Halford Road, Fulham",785
"Westfield Eastern Access Road, Shepherd's Bush",778
"Victory Place, Walworth",727
"South Quay West, Canary Wharf",685
"Spanish Road, Wandsworth",666
"Stewart's Road, Nine Elms",663
"Ingrave Street, Battersea",635
"Limburg Road, Clapham Common",466
"St John's Park, Cubitt Town",449
Mechanical Workshop Penton,381
"Coborn Street, Mile End",340
"Here East South, Queen Elizabeth Olympic Park",267
Pop Up Dock 1,67
"Contact Centre, Southbury House",60
"Monier Road, Newham",34
Pop Up Dock 2,31
Monier Road,11
"Blackfriars road, Southwark",5
LSP2,4
PENTON STREET COMMS TEST TERMINAL _ CONTACT MATT McNULTY,1
LSP1,1
